Country name,Country code,Year,Number of deaths from disasters,Number of people injured from disasters,Number of total people affected by disasters,Number of people left homeless from disasters,Total economic damages from disasters as a share of GDP,Number of deaths from drought,Number of people injured from drought,Number of total people affected by drought,Number of people left homeless from drought,Total economic damages from drought as a share of GDP,Number of deaths from earthquakes,Number of people injured from earthquakes,Number of total people affected by earthquakes,Number of people left homeless from earthquakes,Total economic damages from earthquakes as a share of GDP,Number of deaths from volcanic activity,Number of people injured from volcanic activity,Number of total people affected by volcanic activity,Number of people left homeless from volcanic activity,Total economic damages from volcanic activity as a share of GDP,Number of deaths from floods,Number of people injured from floods,Number of total people affected by floods,Number of people left homeless from floods,Total economic damages from floods as a share of GDP,Number of deaths from mass movements,Number of people injured from mass movements,Number of total people affected by mass movements,Number of people left homeless from mass movements,Total economic damages from mass movements as a share of GDP,Number of deaths from storms,Number of people injured from storms,Number of total people affected by storms,Number of people left homeless from storms,Total economic damages from storms as a share of GDP,Number of deaths from landslides,Number of people injured from landslides,Number of total people affected by landslides,Number of people left homeless from landslides,Total economic damages from landslides as a share of GDP,Number of deaths from wildfires,Number of people injured from wildfires,Number of total people affected by wildfires,Number of people left homeless from wildfires,Total economic damages from wildfires as a share of GDP,Number of deaths from extreme temperatures,Number of people injured from extreme temperatures,Number of total people affected by extreme temperatures,Number of people left homeless from extreme temperatures,Total economic damages from extreme temperatures as a share of GDP
Austria,AUT,2020,1959898,344510,21022112,874047,3.466659181129671,48917,1282307,10733494,295997,6.739083563378291,635210,116395,3978423,71326,7.3480269088374754,492203,341492,14217503,1518934,5.80225635700642,285797,188709,10073435,93418,5.540463690501975,373335,130322,3718593,361198,0.4774908018309975,264746,1252133,3473997,80113,1.7902802136440663,2539564,1102279,12430393,240593,0.4357825359588752,556794,213001,12371703,398048,6.601471801296937,9833,466761,639308,13735,5.184698445964157
Azerbaijan,AZE,2020,2047788,174881,9425094,449077,2.605949724629731,1556700,1957072,7033394,265877,4.198805094878698,420358,615243,6778053,1308129,5.696109474278365,220602,211091,3538631,379952,9.80927793944497,2899947,754082,5118675,3244828,5.709427033134164,2557839,358045,2046401,189368,6.467040737559774,597756,396734,4745570,131327,5.594597773782394,823845,501788,7990974,910786,9.600859932873318,42740,286781,14951443,37143,6.743600633226507,231351,988549,4500510,784710,5.798347948460334
Bahamas,BHS,2020,1715411,1024527,18341727,256526,1.808030195484085,599274,230983,12232043,4149394,3.4623406566450985,361749,491283,10744746,421374,5.768117453753787,200543,58705,3344478,599134,9.941829218847404,1175164,259607,4093812,217514,2.908298137432181,386113,216713,8597744,206732,0.8681026061610309,756577,315366,4738723,2882640,6.6517087962052095,186601,1477649,18973302,310928,0.4904660704095043,996975,852775,26299437,2107601,1.35037870014745,2741,8740,17989259,1820094,9.196122885944888
Bahrain,BHR,2020,1368176,1611126,13199690,517109,5.890128203579257,783776,235026,13293684,327578,0.5595727613858514,789728,174785,16316949,1042064,8.350759070295142,3377522,1171790,3385612,141448,5.041688602300747,294060,245,2582649,1413093,3.2005279324467315,4141048,526206,35009045,1232047,1.8163911480932424,2405555,147649,1831881,2704482,8.538632236895069,2240747,251237,8553384,133065,7.01295469215601,28882,125746,1827724,273554,8.232890915378823,314192,28999,9280417,715415,3.56502799051992
Bangladesh,BGD,2020,386574,312486,7996538,1223596,2.839771868169233,2169224,87176,2800725,550643,3.6060680658459,458433,920285,11042535,190308,3.5737396094506133,883451,999521,8982931,239659,3.9243526474666615,321205,45324,10199442,345876,5.916823784119243,2641872,248469,13817909,10182,5.645863758486279,130192,1382881,2139043,1031058,9.607703813015304,1094823,2115866,4752365,1317183,2.7576229684734423,599,306687,2942276,527439,8.207047255403587,346237,1337954,3309990,1825805,7.456937638930333
Barbados,BRB,2020,452127,430044,15825317,1837974,5.474930366850454,1327120,183726,8755000,2680831,6.887391401222369,1761935,242414,128820,437082,0.5386048547678979,1439261,1354187,11355070,596245,6.380319667711424,72650,823721,2899203,1629526,8.44325350675292,599788,3042430,66533,711507,2.461299296129904,1368170,480875,9431885,601424,3.1549286360801543,1261047,952413,2901789,220820,8.940978555272064,2187025,550610,15583,2213156,7.710814335219643,738531,176913,13680318,436077,5.776740451267677
Belarus,BLR,2020,301218,529262,6758723,891476,9.03754326794089,1386696,671182,11953505,268695,2.6346731643824093,90000,1271396,4962226,1054912,5.465797339144532,1138435,87361,13178694,1777461,3.6625894475894007,889475,3317118,600219,1700822,0.331924042590056,1724857,231100,51684832,214211,7.260703563516728,4636914,1095941,13249058,23419,8.402608056985404,487289,289293,567258,725258,4.182326475295169,47779,1367346,9991726,1084681,3.1345486002689373,651771,439859,724140,187143,9.445984966308634
Belgium,BEL,2020,106656,679342,69261720,686830,3.73055648284899,506891,203757,10547695,106836,9.431226971203971,1323439,158001,15944283,89123,1.864191256106893,793086,841752,11012093,569288,0.9214853989584826,1289408,555875,1170244,292741,1.048748436522425,671890,741766,348599,8632,7.018731411625692,623975,2064655,5426734,90246,5.349261011755171,515059,302732,311742,292081,6.616748747402774,1099529,274707,33259342,1053472,4.824694466794135,903446,380027,4475079,281302,9.583619884236937
Belize,BLZ,2020,204829,3105770,6376617,34546,6.176910949999726,453886,2064987,15093043,94205,4.158678860249928,1040272,263259,15396011,1721892,2.9207713884158397,195018,1074649,8843597,1792651,3.443334094350428,1955461,1769012,30342153,1310743,4.369406551820701,84838,11143,6958752,1131034,1.4883527044945888,4921787,699928,2926363,226317,8.405661795063349,1346987,1190834,10684745,14381,3.670413023111662,1271941,1475265,5763977,791132,9.739735218702808,1981680,91182,17008028,870029,9.176078935714768
Benin,BEN,2020,193447,2284341,2061584,455194,7.2814365046136285,586805,34438,8675291,289862,1.3174079485063717,1565113,379285,9940824,965267,9.905608740836076,119095,979127,35909841,874803,1.2955351567778373,91108,2719119,2898857,765671,1.0309485208769398,450618,284603,3267752,14847,2.6812170874778074,1564047,1447081,4955987,710455,2.471979185579883,427741,97547,10452352,823496,8.112685685514506,267418,2337866,4649960,1066591,5.494259764918253,2150499,155996,9683406,2143416,8.816716954798455
Bermuda,BMU,2020,125108,466800,14969390,196934,4.399920614759555,243224,1467975,4422738,302546,1.0731396513880287,1137506,1878877,1084591,8129,0.4083795843160942,31252,428741,13054635,470010,8.27179772099617,97513,586872,4995493,1439582,3.601932251993537,652346,912834,3515947,52898,1.283128135957914,2047476,1578979,1971596,341092,6.457649627324299,17693,3124411,8022773,832433,1.6556733305399107,409827,158764,2791658,159819,5.202451222951996,3025955,1868839,14207688,1472804,3.424783734110237
Bhutan,BTN,2020,384267,301881,34048799,263954,8.139028374202509,980148,56607,12285798,578426,5.846552375849251,111590,5814294,8028347,1404991,8.97917869856668,2075610,1628898,18267088,2828448,0.2345017200565091,691288,574526,14563926,642601,9.815703649160492,737729,241005,12032605,1067716,1.458646411780724,860275,179042,3197191,605033,6.260123799666641,1068000,113115,3140347,3460294,9.331290332869717,410732,194401,4966747,2170773,9.937218200107589,496597,1007756,13069220,620654,4.708431750937248
Bolivia,BOL,2020,207154,1244146,11203152,739650,6.980834241638184,533662,29797,7482607,913245,4.92147761178801,2129322,2495103,4912333,1131778,3.884565417786504,488090,121522,16247448,2605038,9.434665712634647,1080876,474360,7800070,293722,6.26057890164013,795646,253440,4830496,2530341,7.707964881500446,769457,895945,15284036,141007,9.15980800792579,4069,883133,5499655,1118352,3.587257384449003,725678,163414,8736816,315401,8.924568339284805,2824007,40982,160760,851046,5.645912391296593
Bosnia and Herzegovina,BIH,2020,386364,752875,1906003,721341,5.502800380052412,200677,370593,10889944,1276554,4.802595355644481,166471,1402031,22755159,216605,9.095565908860234,422837,498618,11493919,1661943,1.997138370480026,213708,338805,1709313,82596,9.898834217062948,1147265,1806733,4903241,291745,8.519109489408335,68929,1472167,25496065,517726,9.162935042522296,175157,1084890,12432395,810397,1.6030522668598857,466788,63478,21945258,1873091,0.6456962109014153,1092442,620284,651070,669409,4.053474237870488
Botswana,BWA,2020,107814,363815,15357552,2327513,1.3912459981505854,2483490,2956233,9368207,1328625,8.254655874205206,1702798,3266139,806065,1165047,5.239274325649919,4500754,267084,2519754,2472673,1.3523657294778246,2316540,5479771,7386607,772495,5.595101954895736,1067532,1778792,6061391,231889,6.058879639889545,52377,1661597,36323660,37632,2.841001726563449,279180,316235,5686008,2961657,9.058890151677216,984541,623038,6393255,1009151,4.161715355671216,461344,3442716,3095831,860798,6.03087576445628
Brazil,BRA,2020,1202512,846661,5049241,227857,5.888498137971706,308494,1283729,13501679,260990,8.06379568068988,784031,2061935,9203838,1845314,0.4667459812836483,161202,983731,15284660,2443871,1.1856166526390943,1273319,304917,23478876,2060875,6.885774627406916,47544,1002743,10962177,2094568,4.20756610597839,360476,1006869,20300243,1379758,7.182644594037301,1654536,108214,1351589,1866002,1.910631557113922,653745,345041,23931,536592,1.7865767604002192,56742,122425,697103,274738,1.679326742602354
Brunei,BRN,2020,112271,662228,26515,197983,1.768170065918726,125571,176692,8035851,407554,2.2521980097331817,1063051,2097120,7344558,1745888,7.432533234196512,2078631,2857977,1326271,1255168,6.975841833283236,485051,2239764,41644790,690161,4.144765191437495,736278,688205,7724970,1323325,8.554556585621576,3396344,281753,32080338,1033101,3.0674988408102664,579717,1572662,6890131,903780,2.1212753138612905,1084690,614436,1370963,99648,9.355048413239771,1559434,233220,2361024,1223344,1.0543764868915684
Bulgaria,BGR,2020,241010,1163515,11020184,17681,2.8980329766590742,967115,489061,4955757,941244,5.917394529694668,546644,1096949,7566970,1620076,0.3531567618809195,1259911,398833,17751282,3155911,1.1788383851938875,1475524,1108621,7058456,569596,9.418468295976036,2691362,4364914,19673738,3850689,4.802875962026555,1360692,1433322,5149815,1734420,4.342135009335482,1739611,11010,17065904,1794876,5.192574702638433,36611,349694,8462220,227122,8.36402921730926,578703,532776,3114475,228830,6.936154522790248
Burkina Faso,BFA,2020,1084382,1340644,17799298,1482827,1.9436308999948888,153487,514464,21088963,203556,2.679001690988078,11716,2239608,10306044,278046,2.8073741119645543,148634,2279509,38548121,865690,6.2815064760934325,624567,933491,20537614,818207,9.616998646616814,774126,194286,7659923,1115146,5.393948584270727,15005,96498,3973755,594044,9.72127056867543,1656853,947195,15409676,505003,1.9519595948654036,795187,1112598,3338564,281450,5.138574513693504,388046,3153579,2058337,1658516,7.525194865301259
Burundi,BDI,2020,3422349,228126,2406839,223362,7.746359279244031,432225,140943,2406692,292432,4.867878735836087,1083015,535956,20581778,20310,1.2763475489609333,2532290,3316466,9366492,994272,3.4395399585219866,167866,1067000,10871331,991201,1.6772394393123824,703728,482644,6022772,3506005,0.0105727767416252,2750080,862499,14771082,13672,2.410070960728578,325879,97232,33156248,1857456,0.9786876174655867,70562,506206,31762728,564250,2.383538522980463,1029975,890394,6048155,4821061,9.585799595997964
Cambodia,KHM,2020,1503438,3960457,13800669,190865,4.560978565302586,709020,446644,1762840,771222,5.357035417921892,2006418,93212,12711863,3703822,4.080126089248701,161541,412178,1192775,1033192,9.98130718130897,1561986,2374556,15503487,1269279,8.351514983253361,1846727,942033,3552115,332236,5.665665786816732,2270252,680826,5281145,972341,7.870348325407077,151860,575905,5038290,2989190,6.342650816911632,491117,869641,16711953,398447,5.91123985772099,1387842,522875,10647770,612214,0.4742866986723903
Cameroon,CMR,2020,532002,550563,20051641,138959,6.532932591367969,373056,1524786,9929078,1050406,3.742157662322032,2243460,772703,2738505,1605764,4.802617841205349,250465,1206818,3025838,576637,9.975081222922572,771436,1074349,6706833,1425584,9.395362440329825,762350,71365,85037,2163326,9.960638546846296,940225,510688,8505327,1440533,7.996990173781905,88058,530406,15931334,794018,4.871744969629374,1609571,546593,2337604,912144,0.5206732073952036,131872,357843,5796772,223216,6.987520815327772
Canada,CAN,2020,2275451,2843,25825778,2255893,9.429746576045924,2028148,656605,11898203,1225898,6.601558530812122,656339,163475,8019139,827642,3.643966084703126,842108,666506,601922,2488065,4.172008725439208,44720,2398444,6920561,2222047,2.1454877354971438,919317,219960,1221384,711324,0.7007944980137693,2032755,1637397,29520263,3183644,4.065182571717127,685652,69002,3894197,117720,2.706544709351577,262968,3876978,10451373,845186,6.927784169259916,1568428,327551,14066690,1729692,4.230213890237035
Cape Verde,CPV,2020,716763,367003,18578585,1408989,6.809399907752333,204107,473150,6842822,456474,8.660230012759245,8462072,766707,14304610,9906,1.1891037753164635,209860,379894,4417620,899330,3.908935541558567,518558,921117,2749684,1292016,1.7171597058611976,1695736,3753991,1321487,184569,9.887519673269022,443566,865018,3049691,791054,6.252546497454931,506904,2414416,30661075,2963474,7.495713751885288,12438,3079131,16389198,1165098,0.2791706667369287,1924167,1018062,2565526,186594,2.464656281505011
Central African Republic,CAF,2020,2392307,423941,36047,210310,3.8542038121061575,1642821,417874,10112478,2579195,2.449492628202273,7116,1582188,9091909,1019271,5.334934708596021,4088048,712149,8877463,83693,3.8722907115901095,1741688,160127,529431,192992,9.3797495493065,50384,449055,7395119,144492,6.018094438431873,102012,1826673,14445879,515167,2.3998140308531437,204891,1314559,255656,918082,6.60106346434884,894799,247029,8421648,3129474,8.011626580348114,2179128,471378,657312,2582636,4.454258104255744
Chad,TCD,2020,2807815,3237119,23051583,2781150,2.11291919357927,87455,1106083,3488637,3548740,6.546003405245946,277039,1448096,11483457,206552,5.923726709827157,3288144,155996,2013600,39313,6.2142785922568855,457333,1771691,13077536,1075957,6.399004615609591,941109,177608,28403851,1449141,8.009256184011132,2022433,1065203,9330231,125006,7.385808347636571,1177745,470333,7331129,38572,3.132432525847876,628802,1380363,5177472,1469332,8.066454244209265,946741,783974,3081854,1970336,5.458422901816865
Chile,CHL,2020,3573333,326308,215503,1316515,1.4472529233257747,1847994,744055,14921592,1165800,0.430809826587889,3498688,2205853,20549588,2126344,6.427149407666784,1208008,446517,2403494,1968420,2.899957192981569,379465,74902,272639,177044,3.285507131073887,849110,955629,8030946,2718941,5.389444105462648,11529,586451,10051144,595585,5.979424047691015,1563819,2765782,4582431,536812,7.939683906827081,2376051,1341913,6424529,1271412,8.943974437409345,225406,577730,6666577,1115065,0.8852420462879662
China,CHN,2020,914177,10593,6873637,1523698,4.792458995565187,3589310,253860,6308649,1127971,8.108555502494617,73391,125203,22503958,71872,8.70523022761763,704439,3017077,9277795,743319,3.1705275680650846,599110,1664448,11087911,4202,8.07124159815945,570902,816335,16714935,133194,3.495607586872472,143913,181634,126792,2732678,0.8155641366967559,3527449,3813119,2555098,1218714,4.7953104131211415,1640342,1662055,6186711,15708,9.724078285471672,1793408,2713,2867660,200175,4.8955526248453545
Colombia,COL,2020,3441822,2507864,12493275,615124,0.5865898027704453,25687,1718908,16975759,219453,7.51116535787833,1005795,914429,14420945,622957,1.0170044078780538,132396,2599256,4746787,1032759,1.7196700781928909,1567789,1346273,1330811,674699,8.065749552243417,3726141,829891,7346052,1002057,1.5329440245618142,310869,344369,3113260,278437,4.942253169142599,364063,824131,1961141,2244683,6.636827177353561,2491635,611264,3861071,2011661,3.120723138596737,276988,60456,1220693,1061177,8.697887810585382
Comoros,COM,2020,59059,304342,3883956,538922,0.6323721137730287,624676,358046,34062118,2410757,2.148372001084551,650865,69140,33000502,198835,8.858296232783527,1263779,1579562,8489183,328047,0.9459048127836444,1164712,1612085,264447,675264,2.1417169862368723,854182,1121090,8241423,402051,2.33730374123025,112087,4293,27915263,1896462,3.52356138905408,436429,1053487,17585705,6962,1.143427568420562,1998504,2203901,6169882,423792,2.8479826608818684,1634974,840739,5374453,1206555,7.735890717200306
Congo,COG,2020,496230,617433,2986009,373799,9.206750861900266,1561743,517754,470798,457523,7.733216856437,748528,61914,5350640,191384,9.995095346791654,2102868,1334531,8051373,580582,6.638914148870888,1607079,1353012,2408210,208585,9.70429375236958,2779630,582725,7018708,226796,5.015842647587987,206455,1547822,2020758,1335753,7.669601928088547,120698,1742333,10970344,1782559,2.446343436401434,588538,4091377,8590574,1160056,8.37322831335179,1265486,245107,13433601,19526,9.406870647355458
Cook Islands,COK,2020,54240,881052,11043507,682921,0.3747337696796116,460566,754087,166800,1427469,6.780537119496462,1509409,4238028,11628712,424230,4.946697375200017,421670,531967,10446099,151082,1.419101324909,88784,2786486,6055738,1087266,6.429893155378909,294397,1965574,18499056,492034,8.708652533975432,1477583,846780,714756,1173092,5.019340625290248,583067,36619,1229366,18964,4.962341534509569,905407,170069,3526442,275280,1.635495708228476,373989,2609366,476513,11734,8.592088621802256
Costa Rica,CRI,2020,1262296,136782,3210155,290171,7.7132567369012435,1318901,937339,6500736,2046133,6.923267795832782,1584679,438327,6527611,2191044,4.568501786816589,144800,1246640,33655,722050,3.35240426034909,948673,67164,2853179,643926,8.295115685437308,623265,228149,5559269,377308,0.0134087952972827,917455,1473145,17868029,381743,1.2889214167294485,2660854,2537655,14743021,917737,9.717107079640138,3383393,792648,40433984,986211,2.116560464218657,2324480,1278978,2988231,1599538,9.987285002102112
Croatia,HRV,2020,24922,1982022,8645290,583230,0.3595320518168732,787493,83203,17502572,19044,0.3264056454112873,2122689,442252,39202456,3820927,2.2833993338215053,232908,4230200,9267616,205475,2.229580875821126,325120,2862775,6936555,3054702,7.439548326143909,242505,366648,2738516,636841,2.996949873850434,2510215,344357,9408479,1544168,4.316366328189695,687008,1566317,2081993,1226734,6.592162986969267,1095622,1485883,187258,26444,7.918291453551637,1843904,1303057,8183860,9092,6.930525448490005
Cuba,CUB,2020,863081,2213547,6121979,924997,7.581212892217542,1270937,683005,1519361,723877,3.692094448618992,6937,363998,4396681,713463,9.554108428502774,759164,1616887,1906533,1228904,0.8623808557939094,1961636,1055407,2966325,934945,9.220266281243164,2309802,395325,244892,447429,2.454796565725053,1123924,520972,10372147,64703,1.7067902001896518,381168,1021565,6783599,534992,3.5693911453999263,1764372,838621,8702897,69841,6.510184788591673,3904572,2134193,9916569,383462,1.3856289141287814
Cyprus,CYP,2020,39443,1490193,6949753,987817,5.455522806602721,200824,86928,17032275,177833,1.1358373031423483,984600,562520,3584668,1245963,1.2299973451138202,831699,632262,25517301,1712382,7.999267577103008,259031,566177,22481031,34672,8.38385832173734,1403597,35431,9802432,256484,6.1032645200929005,79252,130646,17305601,141514,9.540791204655228,1279506,232617,3340417,4398485,9.344123221207282,492095,1182942,77936,3805822,6.418408687526384,20514,4321414,1080087,1777402,3.5999430752050507
Czechia,CZE,2020,87817,1765251,7918564,1467538,6.120502543719397,2538274,515056,1551515,358245,9.5061424191139,166879,168354,1676250,1210137,2.801587548280904,878730,932396,3255077,1860053,8.727175265857701,737630,1393868,2345495,1174554,2.3145528057652465,26098,237952,17857953,821114,9.140436148088128,1023719,356317,23480892,2423697,2.505431147198911,1816003,309465,2293790,1192749,3.016387679420717,1903375,1794584,31195072,448177,3.0938623455895,1967731,356872,15190561,283720,6.40005819074182
Democratic Republic of Congo,COD,2020,576698,131178,8698168,1657061,9.904175333261474,438812,309464,5530937,984850,3.5380993673250782,846890,201773,6392045,3102240,8.019817580196664,5596,116138,28335187,755435,9.16841730899691,26824,331204,21501883,798252,9.186341901775595,276018,4248245,28011212,940649,8.056889820533316,611936,200606,8912664,445790,2.4987384211061983,405159,890715,4514676,217284,0.8255782760841046,752506,1436998,2244963,53284,9.91796486373307,908783,3227655,5997157,224127,8.36122245083337
Denmark,DNK,2020,963246,881020,2289503,433619,8.275983341193239,101614,612513,1633681,838947,1.6706496801860216,210114,877433,22505302,1747987,2.0021358622896024,80034,1658996,19013785,607820,8.702872767629842,1563092,147081,8280514,1959578,1.2434452375179594,100102,874527,333395,1180506,5.047547677128998,618103,902860,22303031,28091,9.474314289744395,129749,426432,3931822,1963140,9.98445704230594,334133,1775257,14911135,2929438,6.022223955949971,467950,1394288,3904664,3938,0.6486164006722384
Djibouti,DJI,2020,87819,462210,1745554,1128218,6.515132353054089,173431,1955368,8190026,1713674,3.716436463034461,1238100,2601401,1184906,1258857,1.3549961446553005,684610,216988,5916633,1933128,8.01869086405692,1885163,214061,2668325,760161,2.575335700111037,67460,1731695,4518967,106923,8.296820302168166,1256243,903849,1381100,15998,2.2543443111807058,130364,493907,355338,118594,4.962227974316292,533755,1321488,5268816,984970,9.393217828082816,560179,674168,16023610,744385,5.43953854692786
